example_id                                                                                     | status | run_time        |
---------------------------------------------------------------------------------------------- | ------ | --------------- |
./spec/channels/integration_sync_job_channel_spec.rb[1:1]                                      | passed | 0.00282 seconds |
./spec/channels/integration_sync_job_channel_spec.rb[1:2]                                      | passed | 0.00307 seconds |
./spec/channels/reports_channel_spec.rb[1:1]                                                   | passed | 0.01517 seconds |
./spec/commands/achievement_participations/create_command_spec.rb[1:1:1]                       | passed | 0.0043 seconds  |
./spec/commands/achievement_participations/create_command_spec.rb[1:1:2]                       | passed | 0.00259 seconds |
./spec/commands/achievement_participations/destroy_command_spec.rb[1:1:1]                      | passed | 0.01014 seconds |
./spec/commands/achievement_participations/destroy_command_spec.rb[1:1:2]                      | passed | 0.00521 seconds |
./spec/commands/achievement_participations/list_command_spec.rb[1:1:1]                         | passed | 0.01555 seconds |
./spec/commands/achievement_results/create_command_spec.rb[1:1:1]                              | passed | 1.71 seconds    |
./spec/commands/achievement_results/create_command_spec.rb[1:1:2]                              | passed | 0.00265 seconds |
./spec/commands/achievement_results/destroy_command_spec.rb[1:1:1]                             | passed | 0.00986 seconds |
./spec/commands/achievement_results/destroy_command_spec.rb[1:1:2]                             | passed | 0.0042 seconds  |
./spec/commands/achievement_results/list_command_spec.rb[1:1:1]                                | passed | 0.00981 seconds |
./spec/commands/achievement_statuses/create_command_spec.rb[1:1:1]                             | passed | 0.0054 seconds  |
./spec/commands/achievement_statuses/create_command_spec.rb[1:1:2]                             | passed | 0.00203 seconds |
./spec/commands/achievement_statuses/destroy_command_spec.rb[1:1:1]                            | passed | 0.01556 seconds |
./spec/commands/achievement_statuses/destroy_command_spec.rb[1:1:2]                            | passed | 0.00484 seconds |
./spec/commands/achievement_statuses/list_command_spec.rb[1:1:1]                               | passed | 0.01191 seconds |
./spec/commands/achievement_statuses/list_command_spec.rb[1:1:2]                               | passed | 0.00781 seconds |
./spec/commands/achievement_statuses/update_command_spec.rb[1:1:1]                             | passed | 0.00902 seconds |
./spec/commands/achievement_statuses/update_command_spec.rb[1:1:2]                             | passed | 0.00217 seconds |
./spec/commands/achievement_types/create_command_spec.rb[1:1:1]                                | passed | 0.00473 seconds |
./spec/commands/achievement_types/create_command_spec.rb[1:1:2]                                | passed | 0.00237 seconds |
./spec/commands/achievement_types/list_command_spec.rb[1:1:1]                                  | passed | 0.01116 seconds |
./spec/commands/achievements/import_command_spec.rb[1:1:1]                                     | passed | 0.00983 seconds |
./spec/commands/achievements/import_command_spec.rb[1:1:2]                                     | passed | 0.00341 seconds |
./spec/commands/achievements/import_command_spec.rb[1:1:3]                                     | passed | 0.00508 seconds |
./spec/commands/achievements/list_command_spec.rb[1:1:1]                                       | passed | 0.0789 seconds  |
./spec/commands/achievements/list_command_spec.rb[1:1:2]                                       | passed | 0.043 seconds   |
./spec/commands/reports/generate_command_spec.rb[1:1:1]                                        | passed | 0.13138 seconds |
./spec/commands/reports/generate_command_spec.rb[1:1:2]                                        | passed | 0.01272 seconds |
./spec/commands/researchers/destroy_command_spec.rb[1:1:1]                                     | passed | 0.04902 seconds |
./spec/commands/researchers/destroy_command_spec.rb[1:1:2]                                     | passed | 0.00483 seconds |
./spec/commands/researchers/import_command_spec.rb[1:1:1]                                      | passed | 0.01025 seconds |
./spec/commands/researchers/import_command_spec.rb[1:1:2]                                      | passed | 0.00292 seconds |
./spec/commands/researchers/list_command_spec.rb[1:1:1]                                        | passed | 0.02952 seconds |
./spec/commands/researchers/list_command_spec.rb[1:1:2]                                        | passed | 0.01335 seconds |
./spec/commands/selectors/achievement_participations_command_spec.rb[1:1:1]                    | passed | 0.0144 seconds  |
./spec/commands/selectors/achievement_results_command_spec.rb[1:1:1]                           | passed | 0.01571 seconds |
./spec/commands/selectors/achievement_statuses_command_spec.rb[1:1:1]                          | passed | 0.02481 seconds |
./spec/commands/selectors/achievement_types_command_spec.rb[1:1:1]                             | passed | 0.00865 seconds |
./spec/commands/selectors/dev_employee_activity_types_command_spec.rb[1:1:1]                   | passed | 0.01132 seconds |
./spec/commands/selectors/dev_employee_activity_types_command_spec.rb[1:1:2]                   | passed | 0.00927 seconds |
./spec/commands/selectors/dev_project_criteria_command_spec.rb[1:1:1]                          | passed | 0.01458 seconds |
./spec/commands/selectors/researchers_command_spec.rb[1:1:1]                                   | passed | 0.01549 seconds |
./spec/commands/selectors/researchers_command_spec.rb[1:1:2]                                   | passed | 0.02032 seconds |
./spec/commands/selectors/teams_command_spec.rb[1:1:1]                                         | passed | 0.02223 seconds |
./spec/commands/teams/destroy_command_spec.rb[1:1:1]                                           | passed | 0.11409 seconds |
./spec/commands/teams/destroy_command_spec.rb[1:1:2]                                           | passed | 0.00313 seconds |
./spec/commands/teams/list_command_spec.rb[1:1:1]                                              | passed | 0.0206 seconds  |
./spec/commands/teams/list_command_spec.rb[1:1:2]                                              | passed | 0.01471 seconds |
./spec/commands/teams/list_command_spec.rb[1:1:3]                                              | passed | 0.02011 seconds |
./spec/controllers/api/v1/base_controller_spec.rb[1:1:1]                                       | passed | 0.00927 seconds |
./spec/controllers/api/v1/base_controller_spec.rb[1:1:2]                                       | passed | 0.01098 seconds |
./spec/controllers/api/v1/base_controller_spec.rb[1:1:3]                                       | passed | 0.01003 seconds |
./spec/controllers/api/v1/base_controller_spec.rb[1:1:4]                                       | passed | 0.01645 seconds |
./spec/controllers/api/v1/base_controller_spec.rb[1:1:5]                                       | passed | 0.00962 seconds |
./spec/controllers/api/v1/base_controller_spec.rb[1:1:6]                                       | passed | 0.01352 seconds |
./spec/interactors/imports/parse_csv_file_interactor_spec.rb[1:1:1]                            | passed | 0.00239 seconds |
./spec/interactors/imports/parse_csv_file_interactor_spec.rb[1:1:2]                            | passed | 0.0018 seconds  |
./spec/interactors/imports/parse_csv_file_interactor_spec.rb[1:1:3]                            | passed | 0.00453 seconds |
./spec/interactors/imports/parse_csv_file_interactor_spec.rb[1:1:4]                            | passed | 0.00128 seconds |
./spec/interactors/integrations/sync_preview/execute_interactor_spec.rb[1:1:1]                 | passed | 0.01241 seconds |
./spec/interactors/integrations/sync_preview/execute_interactor_spec.rb[1:1:2]                 | passed | 0.0121 seconds  |
